block,stake_size,address
447583,4.5,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
449871,1.35,2E7fEwo7vK2oUYiExyFqveACfUZBsKAKWo
456108,14.0818042,2YPnUknHwDFdEf1wn9o4hHDxMur66ijo7k
456288,1.6500055,2RyP7x3FzdA414o3P4RPSEsBLoRbusmSpi
456868,2.0,2QJmgE5tw5XTqZnCpYcLhTqVEDd1k25exE
456902,12.375,2QH8jpeKqjjqSxPR8VYKqqvUwEbo5tXWVp
458154,25.68205974,2ZxfRN7aV8yTBRzycDj6LFDzyfUw9a4jC6
458430,24.67302442,2YPnUknHwDFdEf1wn9o4hHDxMur66ijo7k
460619,15.0,2GRRrL9W3JBfRjhmb3PLCQgNqcs6RU1RC4
460643,49.95,2HxsrRj4breA3y5LuFgrRtFUDNvvcUyB1d
462980,11.000022,2WtnQJnvGaxiwfeH8EGGxR9kgmnYiGrfgn
463045,12.37500825,2R572F4tMrzriWBY4SyfWgeCyBmbzqzcTM
466855,12.375,2P3NF2FAigx878LdxJPVzb5L1Cstqq2jLs
467799,11.4495815,2TZ5azBgWqiJQdcMwjAWfAomzpM4WvCANc
469067,8.25,2V9jqRruRtPz7YyMh3pQMZ9D25T7txcM3n
469602,9.0,2RGQ9M3wLm7dm3vWcbYGgtTRJKg47zTdY4
470067,3.0,2QJmgE5tw5XTqZnCpYcLhTqVEDd1k25exE
472188,15.0,2GRRrL9W3JBfRjhmb3PLCQgNqcs6RU1RC4
472232,9.0,2VwVqaHPADA7LYdHVKNtSp3Rmn89L3HJhB
472773,10.00002,2GRRrL9W3JBfRjhmb3PLCQgNqcs6RU1RC4
473304,49.95,2HxsrRj4breA3y5LuFgrRtFUDNvvcUyB1d
475004,1.22727272,2JAeCbRhFzz4ANqyY7o1LKKfqE4nGqaRLt
478085,14.85,2SpMbuVZZzXUmdiGLqA68WSCNc6k3kP8iG
480146,9.000009,2YPxpXasro5fwAKEmHrZYCpeHLNGiAMqzP
480746,37.5,2b6E9XoDC616ZAnii9hAtxW2gs8G9h4aU7
480974,11.7,2Z8pne5CcNnyJWkZYRxpBvVaxzE1Z3zwpj
481375,18.50613101,2WZ2DKTwcDY9wLD77xWN6LnhRszKDsAKNE
483991,13.5,2ZJDJcpmcnF3GHVLVXjkt3fBLhtCkrVv8L
484426,12.375,2Xneg7GCmb36MmNtcH6Ys2Qke8haekhjbf
485223,12.375,2TZ5azBgWqiJQdcMwjAWfAomzpM4WvCANc
487404,14.85,2LrYXHTQ57QjUPyqbcu5fVD2hsk9XxbggH
490909,13.5,2UFUj91p25nA6fJngHm3oRcZE8FZXmBtrb
490945,9.9,2DPeo46T6mMDvTgkNggwFRPBcWfB6EoTAP
493039,13.5,2YHbaeJJZuvuhQHnHwVPWgzVdP1dF7F3Y8
495479,3.0,2ZysRrYxRGmQhH2cgScqwLoVobB9BTmmvC
495560,1.57978723,2ZysRrYxRGmQhH2cgScqwLoVobB9BTmmvC
497647,20.00002,2Gh3WvPUT41dA7C9RVoLmETi1SKVhengZ1
498760,1.3489,2DQXX1rhFNdFQaTqariSqwXGnWJ2M3LNQC
499252,4.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
500304,1.36238532,2H8bPjJNwHSiD9NQHbzz2oKq7aQFDRtWvy
502456,3.0,2QJmgE5tw5XTqZnCpYcLhTqVEDd1k25exE
503665,10.60061879,2WZ2DKTwcDY9wLD77xWN6LnhRszKDsAKNE
503891,12.375,2LD6DTe2sxtGAHCgtoXCLWH8BxqzSRrBea
506196,20.39581581,2WZ2DKTwcDY9wLD77xWN6LnhRszKDsAKNE
507486,12.39158992,2YPnUknHwDFdEf1wn9o4hHDxMur66ijo7k
508259,8.41591258,2YPnUknHwDFdEf1wn9o4hHDxMur66ijo7k
508689,49.7802068,2SefNQKZSK9EEgEqE2EsR3qXEfvsEXZgZE
510316,18.88273349,2YPdxTv8n4V2P5MiDiXVfa9Hj2fg2bLmUt
511095,4.5,2UbAdXbZiphAhqqBP2bnXMv31DMZdm51SL
513980,21.3675153,2ZxfRN7aV8yTBRzycDj6LFDzyfUw9a4jC6
514168,3.000002,2UbAdXbZiphAhqqBP2bnXMv31DMZdm51SL
514298,24.75,2JHxbhjMgi7PUgtJcarLyxR3vYztmsMVUE
516679,6.0,2D4FMbNFU3AjRgE3W8RsPS1wAJpW25mDn9
517097,1.29130434,2PoxN5D5tFZF297nTWM1xSEduDYZwDTSix
517817,7.66729436,2YhfRLtKvwzSqwvrtKyoPeAxe5FGTHsi74
518380,30.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
518400,4.5,2ZysRrYxRGmQhH2cgScqwLoVobB9BTmmvC
520896,49.2802734,2YPdxTv8n4V2P5MiDiXVfa9Hj2fg2bLmUt
520999,30.00004,2Gh3WvPUT41dA7C9RVoLmETi1SKVhengZ1
521454,4.5,2UbAdXbZiphAhqqBP2bnXMv31DMZdm51SL
522424,3.000003,2QJmgE5tw5XTqZnCpYcLhTqVEDd1k25exE
523522,37.12502475,2JHxbhjMgi7PUgtJcarLyxR3vYztmsMVUE
524214,30.0,2Gh3WvPUT41dA7C9RVoLmETi1SKVhengZ1
524987,12.375,2ZgqGSR3fcwUywoojFNeTFyvNo428WoRjk
526707,27.91779588,2ZxfRN7aV8yTBRzycDj6LFDzyfUw9a4jC6
526822,19.62747677,2YhfRLtKvwzSqwvrtKyoPeAxe5FGTHsi74
528232,15.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
529237,13.5,2FBVGnZtLE4JcWDFnqn23o8ZLvJeEsJUwn
532861,11.0,2PTSCTuEbtbGaxsZqyCaaW4jV5LoYmjfZE
533475,13.5,2ayeDhS1B4Gxq9Wsvsw1PghV9YMyvzzpQD
534622,40.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
536058,4.5,2UbAdXbZiphAhqqBP2bnXMv31DMZdm51SL
537387,9.9,2bSTMEWsnG76FMJiNXF9TRajmmceFsMuhU
537862,4.5,2ZysRrYxRGmQhH2cgScqwLoVobB9BTmmvC
541178,9.9,2U4HecT4TMrWKBvNvANKV541FMm1hMdVXE
543530,14.85,2DBH16HYLDfCqibpidz64U6X7eAzQMScf7
543894,1.4999,2DQXX1rhFNdFQaTqariSqwXGnWJ2M3LNQC
543898,37.5,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
544972,8.21438711,2YPnUknHwDFdEf1wn9o4hHDxMur66ijo7k
547387,18.13260746,2YhfRLtKvwzSqwvrtKyoPeAxe5FGTHsi74
550655,1.26923076,2XAZQYE6DDjZx6qBVaDZT9LWjTMS9V5w93
554085,3.75,2cKqnwMdvxaJ9FUmoCkiXneiuko2kjkuYr
554133,3.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
554823,20.00002,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
555345,12.375,2QoxLw5hs3cuBYXrAVLTDYkguXg6QQh2ca
555930,1.4999,2DQXX1rhFNdFQaTqariSqwXGnWJ2M3LNQC
556529,32.39841847,2XizyoprLt38pqayH2k16WKawSrjr5gEhn
556606,14.85,2SpMbuVZZzXUmdiGLqA68WSCNc6k3kP8iG
559065,13.5,2RLZL3dv7Vt3S7zL9QomQG4yCvZcgnf4TS
560010,13.5,2FxzsSnjqEW6rorobohbdNun4TyUJ7q3ky
560457,9.9,2bit9NMvq6dpKYPiqbDRkbqBKb33o4XnNG
562254,1.375,2JAeCbRhFzz4ANqyY7o1LKKfqE4nGqaRLt
563490,12.375,2GysfA7P9jgmuQweQptfUyuz4eKrS4mjWy
563678,13.5,2RcUiVackLWNQnV9sWerGP7m9qESZHuQ6R
563799,30.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
567343,13.5,2JPzdt1tfmRDKqLxJqkyckyvtgrXUNjz5i
568187,14.85,2JbFQvthwPgxXhEgqu4hb3h4W5uFXNo4zY
568399,34.20155307,2M3BZiphz1iuJUuZvXJ87wYhHgQcenbyTz
569017,42.256887,2Ttm8Gh6RXou6LZ6t7WjqErVUQCegCs3E4
571835,15.0,2TwEnncttTb2bJk6hHi1JGgGeT4u78grSN
574478,18.52127247,2WCHonmL3m8FEcPQWqrGigDCP7C3k9PkCW
574829,13.5,2GhjM9AsJR2XUKiuKecb7GHRUmQz7Jg1bN
576908,14.85,2UQbNAqaB4LD2rSNRWN6yR8MTWDZY83rLw
580995,5.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
581270,9.0,2SqCGdg7pYher9tLbeVCmRiQoGxfesvkg1
582295,4.0,2D4FMbNFU3AjRgE3W8RsPS1wAJpW25mDn9
583155,31.27775897,2M3BZiphz1iuJUuZvXJ87wYhHgQcenbyTz
583498,9.0,2RGQ9M3wLm7dm3vWcbYGgtTRJKg47zTdY4
586230,37.5,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
587691,9.9000099,2WCHonmL3m8FEcPQWqrGigDCP7C3k9PkCW
590115,2.611909,2PzjjmMRPLhs7pDJDVCiLTyVoAMQUUZTRu
590430,20.37414419,2WcPim7aLbYCAsvkm1A1pkwztzmYXJdKrF
590455,14.85,2KUkdcUQggPcfvyKnmrv6JCqmfpXqLvfqU
590719,14.85,2Z7SAAuYppKihKoem9hWzSh5ZomgzmVzTA
592820,1.36238532,2M1yzpjAvHx8pSR24wRSxTyWVjUs9ojKgL
593617,12.375,2QSCtDTrjV6ELp2PC8nhdK6wZNvQskqC45
594214,8.25,2TdqciNSMF4S87Fgt5aXjWQhniuMGNTyZ6
595363,1.36238622,2bSTMEWsnG76FMJiNXF9TRajmmceFsMuhU
597363,37.5,2Y5ES6N2g3YSUvqGAMEEtDm9S7FKtbba9C
597794,13.5,2Z7SAAuYppKihKoem9hWzSh5ZomgzmVzTA
598301,30.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
599935,9.000009,2WkTFi6EZYdDBBKWfdHMZ9YSWejdjUzpYg
603400,6.1362661,2DMq71bwS3MF1fmx8WtuTS3MVT7EGD1yvE
605226,13.500018,2G1MTSVuq11vuZdwE5CaaFNA5b5ZVfEym8
605242,13.500018,2METq1dvJBsp85NGPMRzHiT9wvkkpKDgVa
606293,37.5,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
607960,15.0,2TwEnncttTb2bJk6hHi1JGgGeT4u78grSN
608590,37.5,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
609061,9.9,2TiNZmiWoxopUXcfKMB272dLYSTyhrmACe
610073,14.85,2KacoWY6TCYJsqSNUn9RR1GVtNUcoAjwFi
611487,1.40094339,2YdN6Jf8iaosmukbuCLYVDt5AdVzNPva7K
611917,9.0,2Mf8HsJAAPs3XkG3TaMpu8bL8hMDqdUNSf
611945,32.43984636,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
612283,3.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
613457,7.505005,2UU3S9HyrWWuwBh6Y1K5dHPsz3EH2Zqiaw
613550,25.0,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
615116,16.5,2V9jqRruRtPz7YyMh3pQMZ9D25T7txcM3n
615677,16.5,2UvNmDkTmFpGn2aXgGnDCVZPmHBrHaRgoX
617212,9.9000099,2DE8JPjTGwh5XnWY975AkpkKs9iDgmZ1yP
624477,1.70689655,2TRfPaU4Eqb7gv8tEKZLpjnk79M7X9g6TP
624933,9.9,2KxKXoSPnnrwXY3kQ6BUq3zp1FSckEanEN
627616,37.5001,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
628881,23.3580618,2DpKGybUagDt6s2RuH3JGwxXieC4XaExhY
630813,9.9,2WcJ6AqhP7gVPPwxLaQ4RDPDp6PKG3Po3g
632210,1.42788461,2JAeCbRhFzz4ANqyY7o1LKKfqE4nGqaRLt
633989,1.44174757,2RYQJKieAp7bkv2LjsCEH9tq5y5WyTecVr
636113,25.0,2JGfErqqFKYKKNabksxuaxaWnTMg2ZULfu
639809,9.9,2Ttm8Gh6RXou6LZ6t7WjqErVUQCegCs3E4
641180,6.0,2D4FMbNFU3AjRgE3W8RsPS1wAJpW25mDn9
641662,43.75197569,2M3BZiphz1iuJUuZvXJ87wYhHgQcenbyTz
642435,1.53092783,2KK19ZF3GN7F5veSri6Kv5bZvi1qcHPHPC
642497,3.0,2QJmgE5tw5XTqZnCpYcLhTqVEDd1k25exE
645369,15.0,2UtMZ5DLocTfTi6eLtcPATHpPn5tc1YzGm
645387,10.0,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
649386,45.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
651232,2.0,2UtMZ5DLocTfTi6eLtcPATHpPn5tc1YzGm
656249,15.0,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
659710,18.5625,2QoxLw5hs3cuBYXrAVLTDYkguXg6QQh2ca
659759,4.5,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
660140,14.14285714,2S4km1ssjnygMNzcoUQ2ECjqPLc3iJCJws
661406,4.5,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
666297,3.0,2UtMZ5DLocTfTi6eLtcPATHpPn5tc1YzGm
672362,3.0,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
675232,1.38785046,2Meqj5cHdkvsJjZyoC1MPhRbNPR24xSDs9
675323,14.85,2Xneg7GCmb36MmNtcH6Ys2Qke8haekhjbf
675629,18.5625,2UFUj91p25nA6fJngHm3oRcZE8FZXmBtrb
675869,6.000004,2D4FMbNFU3AjRgE3W8RsPS1wAJpW25mDn9
679502,37.5,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
681715,30.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
682567,9.9,2PoxN5D5tFZF297nTWM1xSEduDYZwDTSix
686547,2.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
687542,6.0,2D4FMbNFU3AjRgE3W8RsPS1wAJpW25mDn9
688694,45.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
